|clue_id|round|category|value|clue|answer
0|clue_J_1_1|Single Jeopardy|HISTORIC NAMES|$200|The Iraq War that began in 2003 forced this dictator into hiding; he was later captured & executed|Hussein
1|clue_J_2_1|Single Jeopardy|COLORS OF THE RAINBOW|$200|This genre of country music is fittingly Kentucky's state music|bluegrass
2|clue_J_3_1|Single Jeopardy|U.S. SIGHTS|$200|Easel down the road to Goodland, Kansas to see the world's largest easel holding a painting of these state flowers|sunflowers
3|clue_J_4_1|Single Jeopardy|DISNEY MENAGERIE|$200|This flying elephant has his own ride at Disneyland|Dumbo
4|clue_J_5_1|Single Jeopardy|NOVEL KEYWORDS|$200|What the Dickens?: Orphans;criminals;kidnapping victims; London|Oliver Twist
5|clue_J_6_1|Single Jeopardy|COMPLETE THE PANGRAM|$200|"The classic pangram:""The ____ brown fox jumps over the lazy dog"""|quick
6|clue_J_1_2|Single Jeopardy|HISTORIC NAMES|$400|Though she had 2 children with her first husband, she was unable to give Napoleon an heir, so he left her|Joséphine
7|clue_J_2_2|Single Jeopardy|COLORS OF THE RAINBOW|$400|An early example of this hysteria occurred during the Palmer Raids in 1919, which targeted anarchists & other leftists|the Red Scare
8|clue_J_3_2|Single Jeopardy|U.S. SIGHTS|$400|On Wisconsin's 1,000-mile trail named for this period in Earth's history, you can see rocks left from the Wisconsin glaciation|the Ice Age
9|clue_J_4_2|Single Jeopardy|DISNEY MENAGERIE|$400|"This en""deer""ing character frolics in the forest with his animal friends Thumper & Flower"|Bambi
10|clue_J_5_2|Single Jeopardy|NOVEL KEYWORDS|$400|From 1939:Migrant agricultural laborers;rural families; depressions;labor camps;California|The Grapes of Wrath
11|clue_J_6_2|Single Jeopardy|COMPLETE THE PANGRAM|$400|"For an adult vacation guaranteed to be forgotten, ""Pack my box with five dozen jugs of"" this general term for booze"|liquor
12|clue_J_1_3|Single Jeopardy|HISTORIC NAMES|$600|After posting his 95 Theses on the door of a castle church, this Reformation leader was branded a heretic|Martin Luther
13|clue_J_2_3|Single Jeopardy|COLORS OF THE RAINBOW|$600|"She's a golden ticket holder & champion gum-chomper in ""Charlie and the Chocolate Factory"""|Violet
14|clue_J_3_3|Single Jeopardy|U.S. SIGHTS|$600|Head to the Presidio & check out Industrial Light & Magic & the film production company named for this man|George Lucas
15|clue_J_4_3|Single Jeopardy|DISNEY MENAGERIE|$600|In a 2022 remake, Joseph Gordon-Levitt is the voice of him, Pinocchio's conscience|Jiminy Cricket
16|clue_J_5_3|Single Jeopardy|NOVEL KEYWORDS|$600|By Tolstoy:Married women;adultery;Russia|Anna Karenina
17|clue_J_6_3|Single Jeopardy|COMPLETE THE PANGRAM|$600|"""Farmer Jack realized that big yellow"" these bed coverings ""were expensive"""|quilts
18|clue_J_1_4|Single Jeopardy|HISTORIC NAMES|$800|The word lycée for a French public school goes back to lyceum, which was the name of a school founded by this ancient philosopher|Aristotle
19|clue_J_2_4|Single Jeopardy|COLORS OF THE RAINBOW|$800|Near Newark are communities known as East, South & West this|Orange
20|clue_J_3_4|Single Jeopardy|U.S. SIGHTS|$800|Monsieur Jacques is the mascot of the frog capital of the world, Rayne in this state's Acadia Parish, & even gets a statue|Louisiana
21|clue_J_4_4|Single Jeopardy|DISNEY MENAGERIE|$800|"Introduced in ""The Lion King"", they're the pair seen here"|Timon & Pumbaa
22|clue_J_5_4|Single Jeopardy|NOVEL KEYWORDS|$800|From 2005:Vampires;high schools;schools;Washington (state)|Twilight
23|clue_J_6_4|Single Jeopardy|COMPLETE THE PANGRAM|$800|"""We promptly judged"" this old word ""ivory buckles for the next prize"""|antique
24|clue_J_1_5|Single Jeopardy|HISTORIC NAMES|$1000|This Native American of the Patuxet people aided the Pilgrims at Plymouth & acted as an interpreter|Squanto
25|clue_J_2_5|Single Jeopardy|COLORS OF THE RAINBOW|$1000|Some of the oxygen we breathe is created by these of division chlorophyta, which can be single celled|green algae
26|clue_J_3_5|Single Jeopardy|U.S. SIGHTS|$1000|"You needn't go to Capri, Italy for one of these picturesque caves; visit the one ""of the Redemption"" in West Bend, Iowa"|a grotto
27|clue_J_4_5|Single Jeopardy|DISNEY MENAGERIE|$1000|"In ""Frozen"", he's Kristoff's reindeer pal"|Sven
28|clue_J_5_5|Single Jeopardy|NOVEL KEYWORDS|$1000|A Pulitzer winner: Marginality, social;mothers & sons;New Orleans|A Confederacy of Dunces
29|clue_J_6_5|Single Jeopardy|COMPLETE THE PANGRAM|$1000|"Most birds don't, but ""Jackdaws love my big Sphinx of"" this mineral"|quartz
30|clue_DJ_1_1|Double Jeopardy|ART MOVEMENTS|$400|Renoir & Monet were part of the 1874 exhibition of this artistic movement|Impressionism
31|clue_DJ_2_1|Double Jeopardy|YOU'RE SUCH AN IDIOM!|$400|Oh, boy, you've got a problem now; you did this literally|opened up a can of worms
